group;year;0 años;1 año;2 años;3 años;4 años;5 años;6 años;7 años;8 años;9 años;10 años;11 años;12 años;13 años;14 años;15 años;16 años;17 años;18 años;19 años;20 años;21 años;22 años;23 años;24 años;25 años;26 años;27 años;28 años;29 años;30 años;31 años;32 años;33 años;34 años;35 años;36 años;37 años;38 años;39 años;40 años;41 años;42 años;43 años;44 años;45 años;46 años;47 años;48 años;49 años;50 años;51 años;52 años;53 años;54 años;55 años;56 años;57 años;58 años;59 años;60 años;61 años;62 años;63 años;64 años;65 años;66 años;67 años;68 años;69 años;70 años;71 años;72 años;73 años;74 años;75 años;76 años;77 años;78 años;79 años;80 años;81 años;82 años;83 años;84 años;85 años;86 años;87 años;88 años;89 años;90 años;91 años;92 años;93 años;94 años;95 años;96 años;97 años;98 años;99 años;100 y más años
Women;2022;1066;1095;1138;1303;1374;1420;1490;1478;1478;1621;1653;1795;1746;1773;1806;1716;1735;1763;1816;1794;1727;1778;1737;1699;1790;1778;1685;1684;1737;1838;1911;1985;1984;2074;2160;2295;2409;2587;2706;2849;2873;3112;3164;3274;3377;3370;3425;3468;3360;3359;3468;3504;3636;3624;3607;3694;3672;3963;3780;3799;3748;3760;3739;3498;3577;3331;3157;2997;2952;2841;2808;2715;2812;2883;2539;2606;2752;2503;2526;2222;2163;2399;1743;1856;2092;2564;2386;2191;2016;2024;1613;1387;1193;1005;785;601;427;336;220;178;317
Women;2021;1036;1145;1260;1349;1408;1487;1465;1479;1593;1634;1779;1745;1762;1787;1698;1734;1773;1818;1784;1722;1777;1749;1685;1815;1801;1711;1711;1746;1860;1936;2007;2006;2084;2143;2294;2403;2593;2696;2826;2868;3118;3151;3283;3388;3381;3410;3459;3381;3362;3454;3511;3649;3619;3598;3695;3674;3966;3792;3806;3765;3753;3747;3497;3603;3344;3184;3017;2956;2855;2826;2739;2814;2905;2566;2627;2787;2545;2567;2265;2208;2458;1797;1928;2170;2687;2506;2344;2181;2192;1792;1535;1373;1172;943;750;541;429;292;220;156;272
Women;2020;1102;1239;1330;1390;1460;1459;1477;1587;1640;1773;1734;1750;1788;1685;1743;1777;1826;1775;1712;1772;1749;1678;1818;1795;1715;1722;1774;1874;1934;2014;1996;2109;2156;2302;2402;2575;2705;2818;2876;3090;3124;3259;3381;3372;3390;3468;3359;3363;3451;3531;3641;3617;3619;3686;3674;3962;3791;3801;3765;3755;3750;3509;3608;3362;3176;3017;2962;2865;2830;2757;2841;2920;2601;2653;2822;2584;2612;2330;2248;2515;1851;2000;2263;2820;2666;2528;2392;2401;2026;1736;1619;1397;1151;956;711;554;405;323;241;124;279
Women;2019;1203;1327;1374;1441;1441;1483;1568;1627;1753;1722;1741;1774;1688;1738;1779;1846;1770;1701;1765;1713;1673;1817;1823;1743;1754;1817;1916;1967;2036;2002;2141;2169;2308;2377;2568;2702;2811;2890;3088;3126;3253;3372;3355;3397;3461;3367;3350;3453;3551;3636;3615;3616;3685;3680;3964;3784;3812;3767;3757;3752;3531;3623;3370;3173;3019;2967;2853;2853;2766;2845;2931;2618;2681;2848;2600;2635;2370;2275;2558;1889;2060;2337;2925;2783;2639;2526;2539;2192;1883;1780;1598;1323;1104;836;673;541;414;321;177;112;280
Women;2018;1283;1361;1428;1429;1470;1573;1615;1745;1712;1724;1769;1683;1732;1775;1826;1781;1693;1745;1707;1660;1790;1824;1757;1777;1843;1957;1988;2067;2037;2165;2202;2372;2397;2579;2697;2821;2921;3114;3133;3269;3349;3348;3372;3468;3356;3348;3444;3542;3649;3621;3610;3684;3670;3967;3800;3808;3771;3762;3746;3538;3630;3371;3171;3022;2955;2851;2854;2773;2864;2936;2626;2690;2860;2634;2647;2401;2306;2606;1931;2118;2399;3001;2898;2751;2653;2696;2323;2059;1954;1815;1500;1282;998;831;690;531;413;241;154;121;270
Women;2017;1315;1405;1418;1458;1554;1613;1735;1714;1737;1775;1678;1729;1768;1829;1770;1710;1737;1707;1670;1768;1818;1800;1805;1875;1999;2029;2142;2095;2226;2233;2416;2414;2593;2713;2851;2904;3143;3130;3280;3344;3362;3387;3485;3393;3365;3467;3550;3652;3626;3615;3697;3676;3975;3806;3827;3780;3783;3758;3533;3639;3374;3188;3023;2947;2837;2847;2774;2874;2953;2624;2712;2867;2642;2672;2431;2349;2640;1959;2153;2447;3084;2979;2840;2747;2825;2489;2216;2117;2010;1676;1459;1175;1003;831;647;509;327;215;152;113;254
Women;2016;1376;1413;1442;1563;1620;1744;1711;1750;1776;1680;1740;1765;1827;1771;1708;1739;1723;1662;1761;1797;1790;1843;1904;2047;2110;2195;2170;2273;2289;2465;2459;2635;2737;2883;2929;3184;3165;3314;3369;3393;3417;3503;3413;3365;3479;3552;3667;3626;3610;3704;3709;3986;3818;3840;3778;3797;3767;3556;3658;3388;3189;3035;2964;2853;2852;2782;2885;2974;2646;2737;2894;2659;2691;2449;2368;2681;1993;2177;2504;3148;3055;2918;2863;2955;2616;2374;2258;2173;1835;1622;1332;1168;1016;772;628;444;282;214;157;105;254
Women;2015;1375;1421;1551;1623;1737;1715;1748;1772;1686;1741;1755;1820;1783;1706;1747;1721;1672;1772;1789;1771;1837;1930;2082;2141;2240;2239;2358;2337;2545;2520;2691;2792;2915;2975;3215;3211;3330;3399;3421;3468;3534;3429;3376;3509;3553;3689;3656;3632;3727;3740;4007;3828;3874;3805;3809;3800;3565;3677;3391;3209;3045;2973;2860;2866;2789;2897;2983;2656;2752;2910;2678;2715;2476;2404;2722;2014;2218;2545;3212;3120;3021;2955;3052;2735;2520;2414;2352;2008;1799;1513;1339;1190;927;772;556;375;286;206;148;129;238
Women;2014;1390;1531;1610;1713;1716;1743;1769;1698;1733;1772;1815;1790;1718;1747;1711;1696;1786;1798;1765;1798;1891;2105;2145;2271;2302;2406;2368;2599;2566;2730;2842;2989;3017;3233;3259;3360;3422;3469;3494;3541;3450;3404;3524;3582;3713;3666;3659;3738;3745;4017;3847;3895;3820;3821;3812;3572;3697;3412;3222;3047;2964;2869;2871;2809;2890;3000;2680;2762;2917;2707;2745;2509;2430;2761;2036;2260;2591;3267;3185;3090;3030;3159;2863;2636;2547;2528;2166;1967;1677;1512;1358;1075;907;683;457;363;248;200;167;110;210
Women;2013;1495;1603;1728;1716;1763;1779;1699;1727;1776;1826;1790;1718;1739;1722;1704;1802;1809;1745;1792;1854;2078;2138;2293;2325;2439;2431;2642;2612;2793;2935;3053;3077;3273;3273;3416;3454;3487;3515;3564;3451;3435;3549;3601;3733;3683;3657;3762;3784;4030;3855;3905;3833;3843;3836;3583;3709;3431;3237;3058;2982;2877;2873;2810;2903;3010;2696;2774;2948;2723;2763;2521;2454;2801;2069;2293;2618;3326;3244;3143;3108;3237;2966;2749;2683;2683;2304;2120;1831;1655;1533;1244;1045;800;554;449;325;252;209;155;94;189
