municipio; year;0 años;1 año;2 años;3 años;4 años;5 años;6 años;7 años;8 años;9 años;10 años;11 años;12 años;13 años;14 años;15 años;16 años;17 años;18 años;19 años;20 años;21 años;22 años;23 años;24 años;25 años;26 años;27 años;28 años;29 años;30 años;31 años;32 años;33 años;34 años;35 años;36 años;37 años;38 años;39 años;40 años;41 años;42 años;43 años;44 años;45 años;46 años;47 años;48 años;49 años;50 años;51 años;52 años;53 años;54 años;55 años;56 años;57 años;58 años;59 años;60 años;61 años;62 años;63 años;64 años;65 años;66 años;67 años;68 años;69 años;70 años;71 años;72 años;73 años;74 años;75 años;76 años;77 años;78 años;79 años;80 años;81 años;82 años;83 años;84 años;85 años;86 años;87 años;88 años;89 años;90 años;91 años;92 años;93 años;94 años;95 años;96 años;97 años;98 años;99 años;100 y más años
        24002 Acebedo;2022;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;1;1;2;0;2;2;1;2;0;2;0;1;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;2;1;2;0;2;4;1;2;1;2;1;1;1;1;0;1;3;3;1;2;2;0;0;2;1;4;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;2;1;0;2;1;2;1;1;1;0;0;0;0;0;0;0
        24003 Acebedo;2021;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;2;0;1;1;1;2;0;1;0;1;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;2;1;2;0;2;4;0;2;2;2;1;1;1;1;0;0;3;2;1;2;2;0;0;2;2;4;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;3;1;0;2;1;2;1;1;1;1;0;0;0;0;0;0;0
        24004 Acebedo;2020;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;2;0;1;1;1;2;0;2;0;1;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;2;1;2;0;2;4;0;2;1;2;1;1;1;1;0;0;3;1;0;2;2;0;0;2;2;4;1;0;0;0;1;1;1;1;0;0;0;1;1;0;0;3;0;0;2;1;2;1;2;1;1;0;0;0;0;0;0;0;0
        24005 Acebedo;2019;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;2;0;1;1;1;2;0;2;0;1;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;2;1;2;0;2;4;0;2;1;2;1;1;1;1;0;0;3;1;0;2;2;0;0;2;2;4;1;0;0;0;1;1;1;1;0;0;0;1;1;0;0;3;1;0;2;1;3;1;2;2;2;0;0;0;0;0;0;0;0;0
        24006 Acebedo;2018;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;2;0;1;1;1;2;0;2;0;1;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;2;1;2;0;1;4;0;2;1;2;1;1;1;1;0;0;3;2;0;2;2;0;0;2;2;4;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;4;1;1;2;1;3;1;2;2;2;1;0;0;0;0;0;0;0;0;0
        24007 Acebedo;2017;0;0;0;0;0;0;1;1;1;0;0;1;1;1;2;0;1;1;1;2;0;1;0;1;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;2;1;2;0;2;4;0;1;1;2;1;1;1;1;0;0;3;2;0;2;2;0;0;2;2;4;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;4;1;1;2;1;3;1;2;3;3;2;0;0;1;0;0;0;0;0;0;0
        24008 Acebedo;2016;0;0;0;0;0;1;1;1;0;1;1;1;1;2;0;1;1;1;2;0;1;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;2;1;2;0;2;4;0;1;1;2;1;1;1;1;0;0;3;2;0;2;2;0;0;2;2;3;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;4;1;1;2;1;3;2;2;4;3;2;0;0;1;0;0;0;0;0;0;0;0
        24009 Acebedo;2015;0;0;0;0;1;1;1;0;1;1;1;1;2;0;1;1;1;2;0;1;0;2;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;2;1;2;0;2;4;0;1;1;2;1;1;1;1;0;0;3;2;0;2;2;0;0;3;2;3;1;0;0;0;1;1;1;1;1;0;0;1;2;0;0;4;1;2;2;1;3;2;2;4;3;2;0;0;1;0;0;0;0;0;0;0;0;0
        24010 Acebedo;2014;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;2;0;1;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;2;1;2;0;1;3;0;1;1;2;1;1;1;1;0;0;3;2;0;2;3;0;0;4;3;3;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;4;1;2;2;1;4;2;2;4;4;2;0;0;1;0;0;0;0;0;0;0;0;0;0
        24011 Acebedo;2013;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;2;0;1;0;1;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;3;1;2;0;1;3;0;1;1;2;1;1;1;1;0;0;3;2;0;2;3;0;0;3;3;3;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;4;1;2;2;3;4;2;2;5;4;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0
        24012 Acebedo;2012;0;0;1;1;0;0;0;1;1;1;0;1;1;1;2;0;1;0;1;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;3;1;2;0;1;3;0;1;1;2;1;1;1;1;0;0;2;2;0;2;3;0;0;4;3;3;1;0;0;0;1;1;0;1;1;0;1;1;1;0;1;4;1;2;2;4;3;2;2;5;5;2;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1
        24013 Acebedo;2011;0;1;1;0;0;0;1;1;1;0;1;1;1;2;0;1;0;1;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;3;1;2;0;1;2;0;1;1;2;1;1;1;1;0;0;2;2;0;2;3;0;0;4;3;3;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;4;1;2;2;5;3;2;2;6;5;2;1;0;1;2;1;0;1;0;0;0;0;0;0;0;0;1
        24014 Acebedo;2010;1;1;0;0;0;1;1;1;0;1;1;1;2;0;1;0;2;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;3;1;2;0;1;2;0;1;1;2;1;1;1;1;0;0;2;2;0;2;3;0;0;3;3;4;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;4;1;2;2;4;3;2;2;6;5;2;1;0;1;2;1;1;1;0;0;0;0;0;0;0;0;0;1
        24015 Acebedo;2009;1;0;0;0;1;1;1;0;1;1;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;2;0;1;3;0;1;1;2;1;2;1;1;0;0;2;2;0;2;3;0;0;3;3;4;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;4;1;1;2;4;3;2;2;6;5;2;1;0;2;2;1;1;1;1;0;0;0;0;1;0;0;0;0;2
        24016 Acebedo;2008;0;0;0;1;1;1;0;1;1;1;2;0;1;0;2;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;3;1;2;0;1;3;1;0;1;2;1;1;1;1;0;0;2;2;0;2;3;2;0;3;3;4;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;4;2;2;2;4;3;2;2;7;5;2;1;0;1;1;1;1;1;1;1;0;0;0;2;0;0;0;0;1;1
        24017 Acebedo;2007;0;0;1;1;1;0;1;1;1;2;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;3;1;0;1;1;3;0;0;1;3;1;1;0;1;0;0;2;2;0;2;4;2;0;3;3;4;1;0;0;0;1;1;0;1;0;0;0;1;2;0;1;4;1;2;4;4;3;3;2;7;6;2;1;0;2;1;2;1;1;2;2;0;0;0;2;0;0;0;0;1;0;2
