municipio;year;Todas las edades
        24002 Acebedo;2022;185
        24003 Acebedo;2021;185
        24004 Acebedo;2020;184
        24005 Acebedo;2019;187
        24006 Acebedo;2018;202
        24007 Acebedo;2017;205
        24008 Acebedo;2016;215
        24009 Acebedo;2015;225
        24010 Acebedo;2014;222
        24011 Acebedo;2013;230
        24012 Acebedo;2012;256
        24013 Acebedo;2011;264
        24014 Acebedo;2010;264
        24015 Acebedo;2009;267
        24016 Acebedo;2008;269
        24017 Acebedo;2007;278
        24018 Acebedo;2006;276
        24019 Acebedo;2005;273
        24020 Acebedo;2004;277
        24021 Acebedo;2003;280
        24002 Algadefe;2022;285
        24003 Algadefe;2021;283
        24004 Algadefe;2020;278
        24005 Algadefe;2019;289
        24006 Algadefe;2018;286
        24007 Algadefe;2017;284
        24008 Algadefe;2016;279
        24009 Algadefe;2015;284
        24010 Algadefe;2014;300
        24011 Algadefe;2013;307
        24012 Algadefe;2012;303
        24013 Algadefe;2011;315
        24014 Algadefe;2010;315
        24015 Algadefe;2009;325
        24016 Algadefe;2008;328
        24017 Algadefe;2007;324
        24018 Algadefe;2006;324
        24019 Algadefe;2005;323
        24020 Algadefe;2004;337
        24021 Algadefe;2003;335
        24003 Alija del Infantado;2022;569
        24004 Alija del Infantado;2021;594
        24005 Alija del Infantado;2020;629
        24006 Alija del Infantado;2019;647
        24007 Alija del Infantado;2018;671
        24008 Alija del Infantado;2017;687
        24009 Alija del Infantado;2016;696
        24010 Alija del Infantado;2015;715
        24011 Alija del Infantado;2014;758
        24012 Alija del Infantado;2013;760
        24013 Alija del Infantado;2012;798
        24014 Alija del Infantado;2011;827
        24015 Alija del Infantado;2010;843
        24016 Alija del Infantado;2009;809
        24017 Alija del Infantado;2008;860
        24018 Alija del Infantado;2007;893
        24019 Alija del Infantado;2006;900
        24020 Alija del Infantado;2005;883
        24021 Alija del Infantado;2004;905
        24022 Alija del Infantado;2003;935
        24004 Almanza;2022;603
        24005 Almanza;2021;596
        24006 Almanza;2020;581
        24007 Almanza;2019;574
        24008 Almanza;2018;558
        24009 Almanza;2017;553
        24010 Almanza;2016;563
        24011 Almanza;2015;596
        24012 Almanza;2014;580
        24013 Almanza;2013;601
        24014 Almanza;2012;623
        24015 Almanza;2011;615
        24016 Almanza;2010;609
        24017 Almanza;2009;609
        24018 Almanza;2008;640
        24019 Almanza;2007;640
        24020 Almanza;2006;664
        24021 Almanza;2005;642
        24022 Almanza;2004;666
        24023 Almanza;2003;692
        24005 Antigua, La;2022;333
        24006 Antigua, La;2021;351
        24007 Antigua, La;2020;358
        24008 Antigua, La;2019;360
        24009 Antigua, La;2018;377
        24010 Antigua, La;2017;395
        24011 Antigua, La;2016;403
        24012 Antigua, La;2015;418
        24013 Antigua, La;2014;430
        24014 Antigua, La;2013;447
        24015 Antigua, La;2012;455
        24016 Antigua, La;2011;467
        24017 Antigua, La;2010;483
        24018 Antigua, La;2009;504
        24019 Antigua, La;2008;513
        24020 Antigua, La;2007;524
        24021 Antigua, La;2006;543
        24022 Antigua, La;2005;547
        24023 Antigua, La;2004;557
        24024 Antigua, La;2003;587
        24006 Ardón;2022;569
        24007 Ardón;2021;562
        24008 Ardón;2020;560
        24009 Ardón;2019;560
        24010 Ardón;2018;533
        24011 Ardón;2017;548
        24012 Ardón;2016;563
        24013 Ardón;2015;596
        24014 Ardón;2014;611
        24015 Ardón;2013;617
        24016 Ardón;2012;614
        24017 Ardón;2011;609
        24018 Ardón;2010;613
        24019 Ardón;2009;629
        24020 Ardón;2008;643
        24021 Ardón;2007;655
        24022 Ardón;2006;657
        24023 Ardón;2005;666
        24024 Ardón;2004;659
        24025 Ardón;2003;688
        24007 Arganza;2022;778
        24008 Arganza;2021;788
        24009 Arganza;2020;774
